credit_score,monthly_income_aed,status
400.00,2500.00,soft_decline
400.00,3125.00,soft_decline
400.00,3750.00,soft_decline
400.00,4375.00,soft_decline
400.00,5000.00,soft_decline
400.00,5625.00,soft_decline
400.00,6250.00,soft_decline
400.00,6875.00,soft_decline
400.00,7500.00,soft_decline
400.00,8125.00,soft_decline
400.00,8750.00,soft_decline
400.00,9375.00,soft_decline
400.00,10000.00,soft_decline
400.00,10625.00,soft_decline
400.00,11250.00,soft_decline
400.00,11875.00,soft_decline
400.00,12500.00,soft_decline
400.00,13125.00,soft_decline
400.00,13750.00,soft_decline
400.00,14375.00,soft_decline
400.00,15000.00,soft_decline
425.00,0.00,soft_decline
425.00,625.00,soft_decline
425.00,1250.00,soft_decline
425.00,1875.00,soft_decline
425.00,2500.00,soft_decline
425.00,3125.00,soft_decline
425.00,3750.00,soft_decline
425.00,4375.00,soft_decline
425.00,5000.00,soft_decline
425.00,5625.00,soft_decline
425.00,6250.00,soft_decline
425.00,6875.00,soft_decline
425.00,7500.00,soft_decline
425.00,8125.00,soft_decline
425.00,8750.00,soft_decline
425.00,9375.00,soft_decline
425.00,10000.00,soft_decline
425.00,10625.00,soft_decline
425.00,11250.00,soft_decline
425.00,11875.00,soft_decline
425.00,12500.00,soft_decline
425.00,13125.00,soft_decline
425.00,13750.00,soft_decline
425.00,14375.00,soft_decline
425.00,15000.00,soft_decline
450.00,0.00,soft_decline
450.00,625.00,soft_decline
450.00,1250.00,soft_decline
450.00,1875.00,soft_decline
450.00,2500.00,soft_decline
450.00,3125.00,soft_decline
450.00,3750.00,soft_decline
450.00,4375.00,soft_decline
450.00,5000.00,soft_decline
450.00,5625.00,soft_decline
450.00,6250.00,soft_decline
450.00,6875.00,soft_decline
450.00,7500.00,soft_decline
450.00,8125.00,soft_decline
450.00,8750.00,soft_decline
450.00,9375.00,soft_decline
450.00,10000.00,soft_decline
450.00,10625.00,soft_decline
450.00,11250.00,soft_decline
450.00,11875.00,soft_decline
450.00,12500.00,soft_decline
450.00,13125.00,soft_decline
450.00,13750.00,soft_decline
450.00,14375.00,soft_decline
450.00,15000.00,soft_decline
475.00,0.00,soft_decline
475.00,625.00,soft_decline
475.00,1250.00,soft_decline
475.00,1875.00,soft_decline
475.00,2500.00,soft_decline
475.00,3125.00,soft_decline
475.00,3750.00,soft_decline
475.00,4375.00,soft_decline
475.00,5000.00,soft_decline
475.00,5625.00,soft_decline
475.00,6250.00,soft_decline
475.00,6875.00,soft_decline
475.00,7500.00,soft_decline
475.00,8125.00,soft_decline
475.00,8750.00,soft_decline
475.00,9375.00,soft_decline
475.00,10000.00,soft_decline
475.00,10625.00,soft_decline
475.00,11250.00,soft_decline
475.00,11875.00,soft_decline
475.00,12500.00,soft_decline
475.00,13125.00,soft_decline
475.00,13750.00,soft_decline
475.00,14375.00,soft_decline
475.00,15000.00,soft_decline
500.00,0.00,soft_decline
500.00,625.00,soft_decline
500.00,1250.00,soft_decline
500.00,1875.00,soft_decline
500.00,2500.00,soft_decline
500.00,3125.00,soft_decline
500.00,3750.00,soft_decline
500.00,4375.00,soft_decline
500.00,5000.00,soft_decline
500.00,5625.00,soft_decline
500.00,6250.00,soft_decline
500.00,6875.00,soft_decline
500.00,7500.00,soft_decline
500.00,8125.00,soft_decline
500.00,8750.00,soft_decline
500.00,9375.00,soft_decline
500.00,10000.00,soft_decline
500.00,10625.00,soft_decline
500.00,11250.00,soft_decline
500.00,11875.00,soft_decline
500.00,12500.00,soft_decline
500.00,13125.00,soft_decline
500.00,13750.00,soft_decline
500.00,14375.00,soft_decline
500.00,15000.00,soft_decline
525.00,0.00,soft_decline
525.00,625.00,soft_decline
525.00,1250.00,soft_decline
525.00,1875.00,soft_decline
525.00,2500.00,soft_decline
525.00,3125.00,soft_decline
525.00,3750.00,soft_decline
525.00,4375.00,soft_decline
525.00,5000.00,soft_decline
525.00,5625.00,soft_decline
525.00,6250.00,soft_decline
525.00,6875.00,soft_decline
525.00,7500.00,soft_decline
525.00,8125.00,soft_decline
525.00,8750.00,soft_decline
525.00,9375.00,soft_decline
525.00,10000.00,soft_decline
525.00,10625.00,soft_decline
525.00,11250.00,soft_decline
525.00,11875.00,soft_decline
525.00,12500.00,soft_decline
525.00,13125.00,soft_decline
525.00,13750.00,soft_decline
525.00,14375.00,soft_decline
525.00,15000.00,soft_decline
550.00,0.00,soft_decline
550.00,625.00,soft_decline
550.00,1250.00,soft_decline
550.00,1875.00,soft_decline
550.00,2500.00,soft_decline
550.00,3125.00,soft_decline
550.00,3750.00,soft_decline
550.00,4375.00,soft_decline
550.00,5000.00,soft_decline
550.00,5625.00,soft_decline
550.00,6250.00,soft_decline
550.00,6875.00,soft_decline
550.00,7500.00,soft_decline
550.00,8125.00,soft_decline
550.00,8750.00,soft_decline
550.00,9375.00,soft_decline
550.00,10000.00,soft_decline
550.00,10625.00,soft_decline
550.00,11250.00,soft_decline
550.00,11875.00,soft_decline
550.00,12500.00,soft_decline
550.00,13125.00,soft_decline
550.00,13750.00,soft_decline
550.00,14375.00,soft_decline
550.00,15000.00,soft_decline
575.00,0.00,soft_decline
575.00,625.00,soft_decline
575.00,1250.00,soft_decline
575.00,1875.00,soft_decline
575.00,2500.00,soft_decline
575.00,3125.00,soft_decline
575.00,3750.00,soft_decline
575.00,4375.00,soft_decline
575.00,5000.00,soft_decline
575.00,5625.00,soft_decline
575.00,6250.00,soft_decline
575.00,6875.00,soft_decline
575.00,7500.00,soft_decline
575.00,8125.00,soft_decline
575.00,8750.00,soft_decline
575.00,9375.00,soft_decline
575.00,10000.00,soft_decline
575.00,10625.00,soft_decline
575.00,11250.00,soft_decline
575.00,11875.00,soft_decline
575.00,12500.00,soft_decline
575.00,13125.00,soft_decline
575.00,13750.00,soft_decline
575.00,14375.00,soft_decline
575.00,15000.00,soft_decline
600.00,0.00,soft_decline
600.00,625.00,soft_decline
600.00,1250.00,soft_decline
600.00,1875.00,soft_decline
600.00,2500.00,soft_decline
600.00,3125.00,soft_decline
600.00,3750.00,soft_decline
600.00,4375.00,soft_decline
600.00,5000.00,soft_decline
600.00,5625.00,soft_decline
600.00,6250.00,soft_decline
600.00,6875.00,soft_decline
600.00,7500.00,soft_decline
600.00,8125.00,soft_decline
600.00,8750.00,soft_decline
600.00,9375.00,soft_decline
600.00,10000.00,soft_decline
600.00,10625.00,soft_decline
600.00,11250.00,soft_decline
600.00,11875.00,soft_decline
600.00,12500.00,soft_decline
600.00,13125.00,soft_decline
600.00,13750.00,soft_decline
600.00,14375.00,soft_decline
600.00,15000.00,soft_decline
625.00,0.00,soft_decline
625.00,625.00,soft_decline
625.00,1250.00,soft_decline
625.00,1875.00,soft_decline
625.00,2500.00,soft_decline
625.00,3125.00,soft_decline
625.00,3750.00,soft_decline
625.00,4375.00,soft_decline
625.00,5000.00,soft_decline
625.00,5625.00,soft_decline
625.00,6250.00,soft_decline
625.00,6875.00,soft_decline
625.00,7500.00,soft_decline
625.00,8125.00,soft_decline
625.00,8750.00,soft_decline
625.00,9375.00,soft_decline
625.00,10000.00,soft_decline
625.00,10625.00,soft_decline
625.00,11250.00,soft_decline
625.00,11875.00,soft_decline
625.00,12500.00,soft_decline
625.00,13125.00,soft_decline
625.00,13750.00,soft_decline
625.00,14375.00,soft_decline
625.00,15000.00,soft_decline
650.00,0.00,soft_decline
650.00,625.00,soft_decline
650.00,1250.00,soft_decline
650.00,1875.00,soft_decline
650.00,2500.00,soft_decline
650.00,3125.00,approve_conditional
650.00,3750.00,approve_conditional
650.00,4375.00,approve_conditional
650.00,5000.00,approve_conditional
650.00,5625.00,approve_conditional
650.00,6250.00,approve_conditional
650.00,6875.00,approve_conditional
650.00,7500.00,approve_conditional
650.00,8125.00,approve_conditional
650.00,8750.00,approve_conditional
650.00,9375.00,approve_conditional
650.00,10000.00,approve_conditional
650.00,10625.00,approve_conditional
650.00,11250.00,approve_conditional
650.00,11875.00,approve_conditional
650.00,12500.00,approve_conditional
650.00,13125.00,approve_conditional
650.00,13750.00,approve_conditional
650.00,14375.00,approve_conditional
650.00,15000.00,approve_conditional
675.00,0.00,soft_decline
675.00,625.00,soft_decline
675.00,1250.00,soft_decline
675.00,1875.00,soft_decline
675.00,2500.00,soft_decline
675.00,3125.00,approve_conditional
675.00,3750.00,approve_conditional
675.00,4375.00,approve_conditional
675.00,5000.00,approve_conditional
675.00,5625.00,approve_conditional
675.00,6250.00,approve_conditional
675.00,6875.00,approve_conditional
675.00,7500.00,approve_conditional
675.00,8125.00,approve_conditional
675.00,8750.00,approve_conditional
675.00,9375.00,approve_conditional
675.00,10000.00,approve_conditional
675.00,10625.00,approve_conditional
675.00,11250.00,approve_conditional
675.00,11875.00,approve_conditional
675.00,12500.00,approve_conditional
675.00,13125.00,approve_conditional
675.00,13750.00,approve_conditional
675.00,14375.00,approve_conditional
675.00,15000.00,approve_conditional
700.00,0.00,soft_decline
700.00,625.00,soft_decline
700.00,1250.00,soft_decline
700.00,1875.00,soft_decline
700.00,2500.00,soft_decline
700.00,3125.00,approve_conditional
700.00,3750.00,approve_conditional
700.00,4375.00,approve_conditional
700.00,5000.00,approve
700.00,5625.00,approve
700.00,6250.00,approve
700.00,6875.00,approve
700.00,7500.00,approve
700.00,8125.00,approve
700.00,8750.00,approve
700.00,9375.00,approve
700.00,10000.00,approve
700.00,10625.00,approve
700.00,11250.00,approve
700.00,11875.00,approve
700.00,12500.00,approve
700.00,13125.00,approve
700.00,13750.00,approve
700.00,14375.00,approve
700.00,15000.00,approve
725.00,0.00,soft_decline
725.00,625.00,soft_decline
725.00,1250.00,soft_decline
725.00,1875.00,soft_decline
725.00,2500.00,soft_decline
725.00,3125.00,approve_conditional
725.00,3750.00,approve_conditional
725.00,4375.00,approve_conditional
725.00,5000.00,approve
725.00,5625.00,approve
725.00,6250.00,approve
725.00,6875.00,approve
725.00,7500.00,approve
725.00,8125.00,approve
725.00,8750.00,approve
725.00,9375.00,approve
725.00,10000.00,approve
725.00,10625.00,approve
725.00,11250.00,approve
725.00,11875.00,approve
725.00,12500.00,approve
725.00,13125.00,approve
725.00,13750.00,approve
725.00,14375.00,approve
725.00,15000.00,approve
750.00,0.00,soft_decline
750.00,625.00,soft_decline
750.00,1250.00,soft_decline
750.00,1875.00,soft_decline
750.00,2500.00,soft_decline
750.00,3125.00,approve_conditional
750.00,3750.00,approve_conditional
750.00,4375.00,approve_conditional
750.00,5000.00,approve
750.00,5625.00,approve
750.00,6250.00,approve
750.00,6875.00,approve
750.00,7500.00,approve
750.00,8125.00,approve
750.00,8750.00,approve
750.00,9375.00,approve
750.00,10000.00,approve
750.00,10625.00,approve
750.00,11250.00,approve
750.00,11875.00,approve
750.00,12500.00,approve
750.00,13125.00,approve
750.00,13750.00,approve
750.00,14375.00,approve
750.00,15000.00,approve
775.00,0.00,soft_decline
775.00,625.00,soft_decline
775.00,1250.00,soft_decline
775.00,1875.00,soft_decline
775.00,2500.00,soft_decline
775.00,3125.00,approve_conditional
775.00,3750.00,approve_conditional
775.00,4375.00,approve_conditional
775.00,5000.00,approve
775.00,5625.00,approve
775.00,6250.00,approve
775.00,6875.00,approve
775.00,7500.00,approve
775.00,8125.00,approve
775.00,8750.00,approve
775.00,9375.00,approve
775.00,10000.00,approve
775.00,10625.00,approve
775.00,11250.00,approve
775.00,11875.00,approve
775.00,12500.00,approve
775.00,13125.00,approve
775.00,13750.00,approve
775.00,14375.00,approve
775.00,15000.00,approve
800.00,0.00,soft_decline
800.00,625.00,soft_decline
800.00,1250.00,soft_decline
800.00,1875.00,soft_decline
800.00,2500.00,soft_decline
800.00,3125.00,approve_conditional
800.00,3750.00,approve_conditional
800.00,4375.00,approve_conditional
800.00,5000.00,approve
800.00,5625.00,approve
800.00,6250.00,approve
800.00,6875.00,approve
800.00,7500.00,approve
800.00,8125.00,approve
800.00,8750.00,approve
800.00,9375.00,approve
800.00,10000.00,approve
800.00,10625.00,approve
800.00,11250.00,approve
800.00,11875.00,approve
800.00,12500.00,approve
800.00,13125.00,approve
800.00,13750.00,approve
800.00,14375.00,approve
800.00,15000.00,approve
825.00,0.00,soft_decline
825.00,625.00,soft_decline
825.00,1250.00,soft_decline
825.00,1875.00,soft_decline
825.00,2500.00,soft_decline
825.00,3125.00,approve_conditional
825.00,3750.00,approve_conditional
825.00,4375.00,approve_conditional
825.00,5000.00,approve
825.00,5625.00,approve
825.00,6250.00,approve
825.00,6875.00,approve
825.00,7500.00,approve
825.00,8125.00,approve
825.00,8750.00,approve
825.00,9375.00,approve
825.00,10000.00,approve
825.00,10625.00,approve
825.00,11250.00,approve
825.00,11875.00,approve
825.00,12500.00,approve
825.00,13125.00,approve
825.00,13750.00,approve
825.00,14375.00,approve
825.00,15000.00,approve
850.00,0.00,soft_decline
850.00,625.00,soft_decline
850.00,1250.00,soft_decline
850.00,1875.00,soft_decline
850.00,2500.00,soft_decline
850.00,3125.00,approve_conditional
850.00,3750.00,approve_conditional
850.00,4375.00,approve_conditional
850.00,5000.00,approve
850.00,5625.00,approve
850.00,6250.00,approve
850.00,6875.00,approve
850.00,7500.00,approve
850.00,8125.00,approve
850.00,8750.00,approve
850.00,9375.00,approve
850.00,10000.00,approve
850.00,10625.00,approve
850.00,11250.00,approve
850.00,11875.00,approve
850.00,12500.00,approve
850.00,13125.00,approve
850.00,13750.00,approve
850.00,14375.00,approve
850.00,15000.00,approve
875.00,0.00,soft_decline
875.00,625.00,soft_decline
875.00,1250.00,soft_decline
875.00,1875.00,soft_decline
875.00,2500.00,soft_decline
875.00,3125.00,approve_conditional
875.00,3750.00,approve_conditional
875.00,4375.00,approve_conditional
875.00,5000.00,approve
875.00,5625.00,approve
875.00,6250.00,approve
875.00,6875.00,approve
875.00,7500.00,approve
875.00,8125.00,approve
875.00,8750.00,approve
875.00,9375.00,approve
875.00,10000.00,approve
875.00,10625.00,approve
875.00,11250.00,approve
875.00,11875.00,approve
875.00,12500.00,approve
875.00,13125.00,approve
875.00,13750.00,approve
875.00,14375.00,approve
875.00,15000.00,approve
900.00,0.00,soft_decline
900.00,625.00,soft_decline
900.00,1250.00,soft_decline
900.00,1875.00,soft_decline
900.00,2500.00,soft_decline
900.00,3125.00,approve_conditional
900.00,3750.00,approve_conditional
900.00,4375.00,approve_conditional
900.00,5000.00,approve
900.00,5625.00,approve
900.00,6250.00,approve
900.00,6875.00,approve
900.00,7500.00,approve
900.00,8125.00,approve
900.00,8750.00,approve
900.00,9375.00,approve
900.00,10000.00,approve
900.00,10625.00,approve
900.00,11250.00,approve
900.00,11875.00,approve
900.00,12500.00,approve
900.00,13125.00,approve
900.00,13750.00,approve
900.00,14375.00,approve
900.00,15000.00,approve
